dimension,group,n,rmse,mae,r2,warning
rent_price_band,"< CHF 2,000",44,458.0171491191574,412.04716750348484,-1.5354026646643257,
rent_price_band,"CHF 2,000–2,999",77,357.72278227485947,267.98868466757364,-0.434120079773717,
rent_price_band,"≥ CHF 3,000",43,1499.6462101465695,1020.9368290223294,0.008534902995426474,
geography,Zurich city,54,1089.8072288166177,702.5048674171412,0.5009491134039807,
geography,Rest of canton,110,685.2558583144398,406.6384081544639,0.5104241812732504,
municipality_frequency,Frequent in training (≥ 10),95,888.9311920135809,542.5135102638031,0.5776125888953441,
municipality_frequency,Sparse/unseen in training (< 10),69,768.2008997042697,451.111655977614,0.48066773832872767,
furnishing,Furnished flag,6,501.0953105736371,436.761599148846,0.8074981002633312,Low sample size (n=6); interpret cautiously.
furnishing,No furnished flag,158,850.4706253727651,506.61340596597205,0.555972852050777,
